album_id,artist_id,album_name,album_popularity,releaste_date
6cfPBCXMtrvplI2iqu4uRU,00sAT5YX8W3xNd1EuqyHw9,Our Nation (Remixes),38,2019-02-08
6ECNRctR9p00FLbDho97Yx,00sAT5YX8W3xNd1EuqyHw9,Our Nation,36,2018-05-04
1lqbyIuEs1vy1lfgdKvCu0,00sAT5YX8W3xNd1EuqyHw9,The Rules Of Dada,44,2012-01-01
5RIeGoqKAJdwp6HYDFfagq,00sAT5YX8W3xNd1EuqyHw9,Just Do the Dada,23,2009-08-13
3AHnkEZ1BBQHGs2yQDinlT,00sAT5YX8W3xNd1EuqyHw9,Sunday Fuck You Too (Phasio Remix),37,2019-11-15
4H2VwxgHJWP3t9phevicks,00sAT5YX8W3xNd1EuqyHw9,Table Flipping Machine,38,2019-11-08
6K4CYWZkkNJDexgKest7Ek,00sAT5YX8W3xNd1EuqyHw9,No More 54,41,2019-03-22
1iITOfVhLEoO3iThvIKkWx,00sAT5YX8W3xNd1EuqyHw9,Happiness (Damien N-Drix Remix),15,2019-02-01
7tVy4rWHkwwlgIBQ0f4gxw,00sAT5YX8W3xNd1EuqyHw9,Sunday Fuck You Too (Funkin Matt Remix),21,2019-01-25
5Mxk3WBtqLI6Chl4k6Wj9V,00sAT5YX8W3xNd1EuqyHw9,The World Can Burn (Game Over DJs Remix),35,2019-01-18
2ix40b0YaN4nVGt1fHUmHs,00sAT5YX8W3xNd1EuqyHw9,Do It Till Your Face Hurts (Hardwell Edit),31,2018-10-11
7dr1Zqr8nbqn8qgRvM5EX5,00sAT5YX8W3xNd1EuqyHw9,Higher Than The Sun (Remixes),13,2018-06-08
3TcmAZ1PzHnud8WKdXYHQj,00sAT5YX8W3xNd1EuqyHw9,Sunday Fuck You Too,3,2018-04-20
0Y0CnmNkTHLl2Q3mqNYucX,00sAT5YX8W3xNd1EuqyHw9,One Nation Under Lasers,29,2018-04-09
09YfeDwNJjX1c4BHjB7Pek,00sAT5YX8W3xNd1EuqyHw9,Do It Till Your Face Hurts,23,2018-03-30
2DvsAl1vY27XD7QkeptLCb,00sAT5YX8W3xNd1EuqyHw9,Higher Than The Sun,1,2018-03-09
5e6mVbwqGLnC39dQsv2QcG,00sAT5YX8W3xNd1EuqyHw9,We Want Your Soul (Remixes),29,2018-02-02
0NaL9iBDnNnCSuw9KSSmw1,0ETJQforv5OXgDgidQv9qd,Love Vibrations,26,2018-01-15
2gEYQ7GClLBYeMfJbanj9p,00sAT5YX8W3xNd1EuqyHw9,We Want Your Soul,2,2017-11-17
36wyDSwQlrgwQ2nPjUY1TQ,00sAT5YX8W3xNd1EuqyHw9,Red Is The Color Of Rage,12,2016-07-22
6XeL8rkWXe5pUdg2uGqmak,00TKPo9MxwZ0j4ooveIxWZ,single.,66,2018-06-15
2tbgtOqSv1jEcxHJb38Ld2,00TKPo9MxwZ0j4ooveIxWZ,All the Fucking Time,53,2019-11-01
3ROUYdVAIY29CkzJIwDFXv,00TKPo9MxwZ0j4ooveIxWZ,All the F*cking Time,20,2019-11-01
