artist_id,artist_name,artist_genre,artist_followers,artist_popularity
00sAT5YX8W3xNd1EuqyHw9,Dada Life,`big room` `dance pop` `deep big room` `edm` `electro house` `progressive electro house` `progressive house` ,379931,57
00TKPo9MxwZ0j4ooveIxWZ,Loote,`dance pop` `electropop` `indie poptimism` `indietronica` `nyc pop` `pop` `pop edm` `post-teen pop` `tropical house` ,86827,72
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,`album rock` `art rock` `blues rock` `classic rock` `hard rock` `metal` `psychedelic rock` `rock` `soft rock` ,762225,68
00Z3UDoAQwzvGu13HoAM7J,Skizzy Mars,`indie pop rap` `pop rap` `rap` `underground hip hop` ,239713,66
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,`brill building pop` `bubblegum pop` `classic garage rock` `classic rock` `folk rock` `mellow gold` `merseybeat` `rock` `rock-and-roll` `soft rock` ,130023,58
01WjpKiWVNurV5hjIadB8C,Filter,`alternative metal` `alternative rock` `grunge` `industrial metal` `industrial rock` `nu metal` `pop rock` `post-grunge` `rap rock` `rock` ,246289,58
021hNAnkFIbyFyL97br6NB,Kellie Pickler,`contemporary country` `country` `country dawn` `country road` ,510201,51
02A3cEvlLLCbIMVDrK2GHV,Starley,`aussietronica` ,73991,66
02da1vDJ2hWqfK7aJL6SJm,Soul Asylum,`alternative rock` `grunge` `permanent wave` `pop rock` `post-grunge` `rock` ,301662,60
02NfyD6AlLA12crYzw5YcR,Jane's Addiction,`alternative metal` `alternative rock` `blues rock` `funk metal` `funk rock` `garage rock` `grunge` `hard rock` `modern rock` `nu metal` `permanent wave` `post-grunge` `rock` ,715782,62
02U4dXZhGSo07f66l8JZ91,Tom Speight,`folk-pop` `indie anthem-folk` `indie folk` `neo mellow` ,27424,59
02WQ3uYpJNgznKVcqWCc6I,Intergalactic Lovers,`belgian indie` `belgian rock` ,31093,42
030sRm1rnXI9MeQ23pdax8,Boyz N Da Hood,`atl hip hop` `dirty south rap` `gangster rap` `pop rap` `rap` `southern hip hop` `trap` ,262125,44
0399oiMcmbOzzsYQDNYqxn,Problem,`cali rap` `gangster rap` `hyphy` `pop rap` `rap` `southern hip hop` `trap` `west coast trap` ,172512,62
039zhJoEkboZ8Ii6K40Fb6,Avelino,`grime` `uk alternative hip hop` `uk hip hop` ,80181,63
04abdnqPQe2N4fjztDea6z,Austin Mahone,`dance pop` `pop` `post-teen pop` `social media pop` `teen pop` `viral pop` ,1628931,68
04cetTUz2JTzXBqFKO5YB5,The Wrens,`alternative rock` `gbvfi` `indie rock` `lo-fi` `new jersey indie` `noise pop` `slow core` ,10450,32
04ei5kNgmDuNAydFhhIHnD,Landon Cube,`emo rap` `underground hip hop` `vapor trap` ,160518,73
04gDigrS5kc9YWfZHwBETP,Maroon 5,`pop` `pop rock` ,20926843,93
04LIHk1SobiQwt2tlupoAV,Leo Sayer,`adult standards` `bubblegum pop` `classic uk pop` `country rock` `disco` `folk` `folk rock` `mellow gold` `singer-songwriter` `soft rock` ,198395,61
04qi4CymYf3E50Mt2na4QS,Grinspoon,`australian alternative rock` `australian hip hop` `australian psych` `australian rock` `post-grunge` ,90985,55
0521x50ZcNqqT1fKMJg5c5,Max Bruch,`classical` `late romantic era` ,24181,50
0543y7yrvny4KymoaneT4W,Peter Frampton,`album rock` `art rock` `blues rock` `british blues` `classic rock` `country rock` `folk rock` `hard rock` `heartland rock` `mellow gold` `rock` `roots rock` `singer-songwriter` `soft rock` `symphonic rock` ,545533,62
05FEKb23HHED5ZsWmKo8kz,Billy Joe Shaver,`country rock` `folk` `outlaw country` `roots americana` `roots rock` `singer-songwriter` `texas country` `traditional folk` ,52899,46
05g1p6KAyYQ03SjqRiF756,Brihang,`belgian hip hop` ,9778,50
05khYC2X2kbHqWqD7aYB3c,Zornik,`belgian rock` ,8592,28
05pAwLhsutiuj6gerEwGvU,Lefty Frizzell,`arkansas country` `country rock` `honky tonk` `traditional country` `traditional folk` ,50756,46
05pBnD3QYNOb81cweeqTi8,Jim Stinnett,,334,5
05tyvnDgYMhgagYbUx9td4,Jacob Whitesides,`pop` `post-teen pop` `teen pop` ,287730,51
06h5xeeCDip3usS3go9zjI,The Subs,`belgian pop` ,15328,40
06KgaEpSluofkcChSo7TNr,The Smithereens,`alternative rock` `dance rock` `jangle pop` `new jersey indie` `new wave` `new wave pop` `power pop` `roots rock` ,41131,45
06nsZ3qSOYZ2hPVIMcr1IN,J.J. Cale,`blues` `blues rock` `classic rock` `folk rock` `mellow gold` `modern blues` `rock` `roots rock` `singer-songwriter` ,343330,65
06Qf6vq8AVIpE9XIw8LAsY,Lil Duke,`atl trap` `southern hip hop` `trap` `vapor trap` ,107255,67
0701LAQrkY5Il5vt06uNnC,Trouble,`atl hip hop` `atl trap` `rap` `southern hip hop` `trap` ,68858,59
070kGpqtESdDsLb3gdMIyx,Easton Corbin,`contemporary country` `country` `country road` `modern country rock` ,584385,62
07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,`alternative r&b` `chicago rap` `deep pop r&b` `hip hop` `indie r&b` `indie soul` `neo soul` `pop rap` `rap` `southern hip hop` `underground hip hop` ,259620,70
07EcmJpfAday8xGkslfanE,Kevin Abstract,`hip hop` `lgbtq+ hip hop` `pop rap` `rap` ,350416,69
07FfkbljNIdl45Ijlh1aXS,RHODES,`indie anthem-folk` ,81070,63
07jc1IMGtecDZzOL9cP50t,Days Of The New,`alternative metal` `alternative rock` `grunge` `nu metal` `post-grunge` `rock` ,188362,54
07QEuhtrNmmZ0zEcqE9SF6,Owl City,`pop` `pop rock` `post-teen pop` ,1821134,73
07V3atNq2TyPNDYmzp6Dyy,Reese LAFLARE,`underground hip hop` `vapor trap` ,30952,67
07VmOvmuBp9G0gb8BTrpn0,Mike Jones,`dirty south rap` `gangster rap` `hip hop` `pop rap` `rap` `southern hip hop` `trap` ,222965,60
07XSN3sPlIlB2L2XNcTwJw,KISS,`album rock` `classic rock` `glam rock` `hard rock` `metal` `rock` ,4069155,76
07xwCifj3iE7F6fYHin4TU,Black Oak Arkansas,`blues rock` `classic rock` `country rock` `hard rock` `rock` `southern rock` ,60954,37
088fpww3Ae4U9cMZv5O6m8,Amilcare Ponchielli,`classical` `italian opera` `late romantic era` ,5573,43
08avsqaGIlK2x3i2Cu7rKH,Keith Richards,`blues` `blues rock` `british blues` `classic rock` `electric blues` `roots rock` ,150408,47
